Curve H2
57200 12
57250 12
57300 12
57350 12
57400 12
57450 12
57500 12
57550 12
57600 12
57650 12
57700 12
57750 12
57800 12
57850 12
57900 12
57950 12
58000 12
58050 12
58100 12
58150 12
58200 12
58250 12
58300 12
58350 12
58400 12
58450 12
58500 12
58550 12
58600 12
58650 12
58700 12
58750 12
58800 12
58850 12
58900 12
58950 12
59000 12
59050 12
59100 12
59150 12
59200 12
59250 12
59300 12
59350 12
59400 12
59450 12
59500 12
59550 12
59600 12
59650 12
59700 12
59750 12
59800 12
59850 12
59900 12
59950 12
60000 12
60050 12
60100 12
60150 12
60200 12
60250 12
60300 12
60350 12
60400 12
60450 12
60500 12
60550 12
60600 12
60650 12
60700 12
60750 12
60800 12
60850 12
60900 12
60950 12
61000 12
61050 12
61100 12
61150 12
61200 12
61250 12
61300 12
61350 12
61400 12
61450 12
61500 12
61550 12
61600 12
61650 12
61700 12
61750 12
61800 12
61850 12
61900 12
61950 12
62000 12
62050 12
62100 12
62150 12
62200 12
62250 12
62300 12
62350 12
62400 12
62450 12
62500 12
62550 12
62600 12
62650 12
62700 12
62750 12
62800 12
62850 12
62900 12
62950 12
63000 12
63050 12
63100 12
63150 12
63200 12
63250 12
63300 12
63350 12
63400 12
63450 12
63500 12
63550 12
63600 12
63650 12
63700 12
63750 12
63800 12
63850 12
63900 12
63950 12
64000 12
64050 12
64100 12
64150 12
64200 12
64250 12
64300 12
64350 12
64400 12
64450 12
64500 12
64550 12
64600 12
64650 12
64700 12
64750 12
64800 12
64850 12
64900 13
64950 13
65000 13
65050 13
65100 13
65150 13
65200 13
65250 13
65300 14
65350 14
65400 14
65450 14
65500 14
65550 14
65600 14
65650 14
65700 14
65750 14
65800 14
65850 14
65900 14
65950 14
66000 14
66050 14
66100 14
66150 14
66200 14
66250 14
66300 14
66350 14
66400 14
66450 14
66500 14
66550 14
66600 14
66650 14
66700 14
66750 14
66800 14
66850 14
66900 14
66950 14
67000 14
67050 14
67100 14
67150 14
67200 14
67250 14
67300 14
67350 14
67400 13
67450 14
67500 14
67550 14
67600 14
67650 14
67700 14
67750 14
67800 15
67850 15
67900 15
67950 15
68000 15
68050 14
68100 14
68150 14
68200 14
68250 14
68300 14
68350 14
68400 14
68450 14
68500 14
68550 14
68600 14
68650 14
68700 14
68750 14
68800 14
68850 14
68900 14
68950 14
69000 14
69050 14
69100 14
69150 14
69200 14
69250 14
69300 14
69350 14
69400 14
69450 14
69500 14
69550 14
69600 14
69650 14
69700 14
69750 14
69800 14
69850 14
69900 14
69950 14
70000 14
70050 14
70100 14
70150 15
70200 15
70250 15
70300 16
70350 16
70400 16
70450 16
70500 16
70550 16
70600 16
70650 16
70700 16
70750 16
70800 16
70850 16
70900 16
70950 16
71000 16
71050 16
71100 16
71150 16
71200 16
71250 16
71300 16
71350 16
71400 16
71450 16
71500 16
71550 16
71600 16
71650 16
71700 16
71750 16
71800 16
71850 16
71900 16
71950 16
72000 16
72050 16
72100 16
72150 16
72200 16
72250 16
72300 16
72350 16
72400 16
72450 16
72500 16
72550 16
72600 16
72650 16
72700 16
72750 16
72800 16
72850 16
72900 16
72950 16
73000 16
73050 16
73100 16
73150 16
73200 16
73250 16
73300 16
73350 16
73400 16
73450 16
73500 16
73550 16
73600 16
73650 16
73700 16
73750 16
73800 16
73850 16
73900 16
73950 16
74000 16
74050 16
74100 16
74150 16
74200 16
74250 16
74300 16
74350 16
74400 16
74450 16
74500 16
74550 16
74600 16
74650 16
74700 16
74750 16
74800 17
74850 16
74900 16
74950 16
75000 16
75050 16
75100 16
75150 16
75200 16
75250 16
75300 16
75350 16
75400 16
75450 16
75500 16
75550 16
75600 16
75650 16
75700 16
75750 16
75800 16
75850 16
75900 16
75950 16
76000 16
76050 16
76100 16
76150 16
76200 16
76250 16
76300 16
76350 16
76400 16
76450 16
76500 16
76550 16
76600 16
76650 16
76700 16
76750 16
76800 16
76850 16
76900 16
76950 16
77000 16
77050 16
77100 16
77150 16
77200 16
77250 16
77300 16
77350 16
77400 16
77450 16
77500 16
77550 16
77600 16
77650 16
77700 16
77750 16
77800 16
77850 16
77900 16
77950 16
78000 16
78050 16
78100 16
78150 16
78200 16
78250 16
78300 16
78350 16
78400 16
78450 17
78500 17
78550 17
78600 17
78650 17
78700 17
78750 17
78800 17
78850 17
78900 17
78950 17
79000 17
79050 17
79100 17
79150 17
79200 17
79250 17
79300 17
79350 17
79400 17
79450 17
79500 17
79550 17
79600 17
79650 17
79700 17
79750 17
79800 17
79850 17
79900 17
79950 17
80000 17
80050 17
80100 17
80150 17
80200 17
80250 17
80300 17
80350 17
80400 17
80450 18
80500 17
80550 17
80600 17
80650 17
80700 17
80750 17
80800 17
80850 17
80900 18
80950 18
81000 18
