Curve CH4
51850 13
51900 13
51950 13
52000 13
52050 13
52100 13
52150 13
52200 13
52250 13
52300 13
52350 13
52400 13
52450 13
52500 13
52550 13
52600 13
52650 13
52700 13
52750 13
52800 13
52850 13
52900 13
52950 13
53000 13
53050 13
53100 13
53150 13
53200 13
53250 13
53300 13
53350 13
53400 13
53450 13
53500 13
53550 13
53600 13
53650 13
53700 13
53750 13
53800 13
53850 13
53900 13
53950 13
54000 13
54050 13
54100 13
54150 13
54200 13
54250 13
54300 13
54350 13
54400 13
54450 13
54500 13
54550 13
54600 13
54650 13
54700 13
54750 13
54800 13
54850 13
54900 13
54950 13
55000 13
55050 13
55100 13
55150 13
55200 13
55250 13
55300 13
55350 13
55400 13
55450 13
55500 13
55550 13
55600 13
55650 13
55700 13
55750 13
55800 13
55850 13
55900 13
55950 13
56000 13
56050 13
56100 13
56150 13
56200 13
56250 13
56300 13
56350 13
56400 13
56450 13
56500 13
56550 13
56600 13
56650 14
56700 14
56750 14
56800 14
56850 14
56900 14
56950 14
57000 14
57050 14
57100 14
57150 14
57200 14
57250 14
57300 14
57350 14
57400 14
57450 14
57500 14
57550 14
57600 14
57650 14
57700 14
57750 14
57800 14
57850 14
57900 14
57950 14
58000 14
58050 14
58100 14
58150 14
58200 14
58250 14
58300 14
58350 14
58400 14
58450 14
58500 14
58550 14
58600 14
58650 14
58700 14
58750 14
58800 14
58850 14
58900 14
58950 14
59000 14
59050 14
59100 14
59150 14
59200 14
59250 14
59300 14
59350 14
59400 14
59450 14
59500 14
59550 14
59600 14
59650 15
59700 15
59750 15
59800 15
59850 15
59900 15
59950 15
60000 15
60050 15
60100 15
60150 15
60200 15
60250 15
60300 15
60350 15
60400 15
60450 15
60500 15
60550 15
60600 15
60650 15
60700 15
60750 15
60800 15
60850 16
60900 16
60950 16
61000 16
61050 16
61100 16
61150 16
61200 16
61250 16
61300 16
61350 16
61400 16
61450 16
61500 16
61550 16
61600 16
61650 16
61700 16
61750 16
61800 16
61850 16
61900 16
61950 16
62000 16
62050 16
62100 16
62150 16
62200 16
62250 16
62300 16
62350 16
62400 15
62450 16
62500 16
62550 16
62600 16
62650 16
62700 16
62750 16
62800 16
62850 16
62900 16
62950 16
63000 16
63050 16
63100 16
63150 16
63200 16
63250 16
63300 16
63350 16
63400 16
63450 16
63500 16
63550 16
63600 16
63650 16
63700 16
63750 16
63800 16
63850 16
63900 16
63950 16
64000 16
64050 16
64100 16
64150 16
64200 16
64250 16
64300 16
64350 16
64400 16
64450 16
64500 16
64550 16
64600 16
64650 16
64700 16
64750 16
64800 16
64850 16
64900 16
64950 16
65000 16
65050 16
65100 16
65150 16
65200 16
65250 16
65300 16
65350 16
65400 16
65450 16
65500 16
65550 16
65600 16
65650 16
65700 16
65750 16
65800 16
65850 16
65900 16
65950 16
66000 16
66050 16
66100 16
66150 16
66200 16
66250 16
66300 16
66350 16
66400 16
66450 16
66500 16
66550 16
66600 16
66650 16
66700 16
66750 16
66800 16
66850 16
66900 16
66950 16
67000 16
67050 16
67100 16
67150 16
67200 16
67250 16
67300 16
67350 16
67400 16
67450 16
67500 16
67550 16
67600 16
67650 16
67700 16
67750 16
67800 16
67850 16
67900 16
67950 16
68000 16
68050 16
68100 16
68150 16
68200 16
68250 16
68300 16
68350 16
68400 16
68450 16
68500 16
68550 16
68600 16
68650 16
68700 17
68750 17
68800 17
68850 17
68900 17
68950 17
69000 17
69050 17
69100 17
69150 17
69200 17
69250 17
69300 17
69350 17
69400 17
69450 17
69500 17
69550 17
69600 17
69650 17
69700 17
69750 17
69800 17
69850 17
69900 17
69950 17
70000 17
70050 17
70100 16
70150 16
70200 16
70250 16
70300 16
70350 16
70400 15
70450 16
70500 16
70550 16
70600 16
70650 17
70700 17
70750 17
70800 17
70850 17
70900 17
70950 17
71000 17
71050 17
71100 17
71150 17
71200 17
71250 17
71300 17
71350 17
71400 17
71450 17
71500 17
71550 17
71600 17
71650 17
71700 17
71750 17
71800 17
71850 17
71900 17
71950 16
72000 17
72050 17
72100 17
72150 17
72200 17
72250 17
72300 17
72350 17
72400 17
72450 17
72500 17
72550 17
72600 17
72650 17
72700 17
72750 17
72800 17
72850 17
72900 17
72950 17
73000 17
73050 17
73100 17
73150 17
73200 17
73250 17
73300 17
73350 17
73400 17
73450 17
73500 16
73550 16
73600 16
73650 16
73700 16
73750 16
73800 16
73850 16
73900 16
73950 16
74000 16
74050 16
74100 16
74150 16
74200 16
74250 16
74300 16
74350 16
74400 16
74450 16
74500 16
74550 16
74600 16
74650 16
74700 16
74750 16
74800 15
74850 16
74900 16
74950 16
75000 16
75050 16
75100 16
75150 16
75200 16
75250 16
75300 16
75350 16
75400 16
75450 16
75500 16
75550 16
75600 16
75650 16
75700 16
75750 16
75800 16
75850 16
75900 16
75950 16
76000 16
76050 16
76100 16
76150 16
76200 16
76250 16
76300 16
76350 16
76400 16
76450 16
76500 16
76550 16
76600 16
76650 16
76700 16
76750 16
76800 16
76850 16
76900 16
76950 16
